Wave-B2 Step 1 batch root: /home/kev/argus/raw/vendor_docs/20260505T143454Z
Hard cap: 120 HTTP calls (88 base + 35 recovery)
User-Agent: ArgusSourceWorker/0.1 (Phase4 Wave B2 Step 1 corpus fetch; +https://github.com/argus-project)

=== ROBOTS RE-CHECK (7 NEW hosts) ===
  [  1/120] robots_a.storyblok   403        243B  85ebfe9d2588da5a  https://a.storyblok.com/robots.txt
  [  2/120] robots_www.sierraw   200        180B  8ccac58755d6e0b5  https://www.sierrawireless.com/robots.txt
  [  3/120] robots_www.semtech   200        338B  a068b86cd6804743  https://www.semtech.com/robots.txt
  [  4/120] robots_reveal-medi   200         48B  41dea18baf0c8bff  https://reveal-media.imgix.net/robots.txt
  [  5/120] robots_www.getac.c   200        180B  9f0bf6ce74b722a3  https://www.getac.com/robots.txt
  [  6/120] robots_www.soundth   200        229B  aab4f2c5131660f4  https://www.soundthinking.com/robots.txt
  [  7/120] robots_media.celle   403        111B  a824bc7739e226e1  https://media.cellebrite.com/robots.txt

=== COHORT 1: DAM PDF batch (22 URLs) ===
  [  8/120] apx_accessories_ca   200   37106355B  f0d9a0c5cbdf8fd9  https://www.motorolasolutions.com/content/dam/msi/docs/products/apx/apx-accessories/apx_ac
  [  9/120] linc_video_based_l   200    3381569B  f58e6a3ca6e1f8f4  https://www.motorolasolutions.com/content/dam/msi/docs/products/license-plate-recognition-
  [ 10/120] lpr_brochure         200    9082946B  79c70e193f13a297  https://www.motorolasolutions.com/content/dam/msi/docs/products/license-plate-recognition-
  [ 11/120] case_study_grand_p   200     121870B  0eab144a05b3311e  https://a.storyblok.com/f/198504/x/0049526b6a/case-study-grand-prairie-police-department.p
  [ 12/120] case_study_west_mi   200     178212B  35f6f038ef1761fa  https://a.storyblok.com/f/198504/x/220a679cd5/axon_west-midlands_case-study.pdf
  [ 13/120] perse_one_pager      404     587463B  629c428b4613a6c1  https://www.sierrawireless.com/uploads/common/PerSe_One_Pager.pdf
  [ 14/120] airlink_portfolio_   200    1006431B  fc87820922284ebf  https://www.sierrawireless.com/wp-content/uploads/2024/02/ES-B-AirLink-Portfolio-Brochure-
  [ 15/120] lora_cs_apana        200     398502B  ab95bc8d57fe6a3e  https://www.semtech.com/uploads/technology/LoRa/app-briefs/LoRa-CS-Apana-Case_Study-2020-F
  [ 16/120] lora_cs_cra          200     439732B  3a39105da29f2f36  https://www.semtech.com/uploads/technology/LoRa/app-briefs/LoRa-CS-CRA-Case-Study-2020-F_(
  [ 17/120] lora_cs_green_stre   200     520812B  bf82bc9cf2ef403c  https://www.semtech.com/uploads/technology/LoRa/app-briefs/LoRa-CS-Green_Stream-Case_Study
  [ 18/120] lora_smarthome_yos   200    3483821B  1da01e16367f0c11  https://www.semtech.com/uploads/technology/LoRa/app-briefs/LoRa_UseCase_SmartHome_YoSmart_
  [ 19/120] lora_iotlabs         200     730103B  4361140637f44482  https://www.semtech.com/uploads/technology/LoRa/app-briefs/Semtech-UseCase-IOTLabs-8.5x11_
  [ 20/120] k6_datasheet         200    6011658B  e0f467284f8676e0  https://reveal-media.imgix.net/K6-Datasheet-DV1_v2.pdf
  [ 21/120] d_series_datasheet   200   20230989B  a1fba94c5c0738d0  https://reveal-media.imgix.net/PDFs/D-series-US-Datasheet.pdf
  [ 22/120] b360_g3_product      200    1180106B  abeb899c08e32730  https://www.getac.com/content/dam/getac/product-spec-data-pdf/us/Getac_B360_G3_US_Product.
  [ 23/120] k120_product         200     935863B  41ac1d20a80a5051  https://www.getac.com/content/dam/getac/product-spec-data-pdf/us/Getac_K120_US_Product.pdf
  [ 24/120] b360_accessory       200    3357904B  4307190efb07e59f  https://www.getac.com/content/dam/getac/product-accessory-data-pdf/us/Getac_B360_Accessory
  [ 25/120] k120_accessory       200    4843500B  ee965ed8bccfb475  https://www.getac.com/content/dam/getac/product-accessory-data-pdf/us/Getac_K120_Accessory
  [ 26/120] casebuilder_datash   200     932197B  e876c5d705dbc91e  https://www.soundthinking.com/wp-content/uploads/2023/03/2023-xx-xx-CaseBuilder-Datasheet.
  [ 27/120] premium_solution_o   200     336664B  0813704e09d069cf  https://media.cellebrite.com/wp-content/uploads/2022/08/Solution_Overview_Cellebrite_Premi
  [ 28/120] premium_as_a_servi   200     548256B  5e2e84604e46677f  https://media.cellebrite.com/wp-content/uploads/2022/10/Cellebrite-Premium-as-a-Service-So
  [ 29/120] ufed_ltr_solution_   200     368601B  c53dc539eb816c74  https://media.cellebrite.com/wp-content/uploads/2022/11/Solution_Overview_Cellebrite_UFED_

=== COHORT 2: DroneShield Wayback (10 URLs) ===
  [ 30/120] product_dronegun-t   200     359733B  ab2d5d06ad2b5e60  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronegun-tactical
  [ 31/120] product_dronegun-m   200     229194B  9ec338c6efbbe165  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronegun-mkiii
  [ 32/120] product_dronegun-m   200     315728B  0c2f600a941a22bf  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronegun-mk4
  [ 33/120] product_rfpatrol     200     312604B  0d2cdd436ffb03d9  https://web.archive.org/web/2024/https://www.droneshield.com/products/rfpatrol
  [ 34/120] product_rfpatrol-m   404     151607B  4bf84cb0529d95ab  https://web.archive.org/web/2024/https://www.droneshield.com/products/rfpatrol-mk2
  [ 35/120] product_dronesentr   200     230716B  6cca9fd27f9bbca6  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronesentry
  [ 36/120] product_dronesentr   200     859534B  2dfdad243bf236f6  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronesentry-x
  [ 37/120] product_dronesenti   404     151607B  1bbf79a45bfcb744  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronesentinel
  [ 38/120] product_rfone-mkii  None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://www.droneshield.com/products/rfone-mkii
  [ 39/120] product_dronenode   None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://www.droneshield.com/products/dronenode

